NUMBER_OF_SALES,TOTAL_REVENUE,NUMBER_OF_UNIT_SOLD,PURCHASE_DATE,MONTH_ID,DAY_OF_WEEK,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_DETAIL,PRODUCT_TYPE
2,13.00,4,2023-01-01,202301,Sun,Lower Manhattan,Bakery,Cranberry Scone,Scone
9,65.00,26,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Morning Sunrise Chai Rg,Brewed Chai tea
2,10.00,4,2023-01-01,202301,Sun,Lower Manhattan,Tea,Traditional Blend Chai Rg,Brewed Chai tea
3,24.00,8,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Ouro Brasileiro shot,Barista Espresso
6,52.50,14,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Latte,Barista Espresso
7,48.00,16,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg,Drip coffee
4,25.00,10,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg,Drip coffee
3,42.50,10,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Cappuccino Lg,Barista Espresso
3,36.00,12,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Earl Grey Lg,Brewed Black tea
4,28.00,8,2023-01-01,202301,Sun,Astoria,Bakery,Croissant,Pastry
6,75.00,20,2023-01-01,202301,Sun,Astoria,Coffee,Latte,Barista Espresso
5,48.00,16,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee
4,68.00,16,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Latte Rg,Barista Espresso
5,57.00,12,2023-01-01,202301,Sun,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate
3,27.00,6,2023-01-01,202301,Sun,Hell's Kitchen,Bakery,Scottish Cream Scone ,Scone
2,14.00,4,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Brazilian Lg,Organic brewed coffee
5,40.00,10,2023-01-02,202301,Mon,Lower Manhattan,Tea,Morning Sunrise Chai Lg,Brewed Chai tea
4,30.80,14,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Ethiopia Sm,Gourmet brewed coffee
3,24.00,8,2023-01-02,202301,Mon,Hell's Kitchen,Tea,Traditional Blend Chai Lg,Brewed Chai tea
3,25.50,10,2023-01-02,202301,Mon,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea
3,20.00,8,2023-01-02,202301,Mon,Astoria,Tea,Peppermint Rg,Brewed herbal tea
1,7.00,2,2023-01-01,202301,Sun,Hell's Kitchen,Bakery,Ginger Biscotti,Biscotti
2,15.00,4,2023-01-01,202301,Sun,Hell's Kitchen,Bakery,Almond Croissant,Pastry
6,45.00,18,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg,Drip coffee
3,20.40,8,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea
4,36.00,12,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Serenity Green Tea Lg,Brewed Green tea
2,10.00,4,2023-01-01,202301,Sun,Lower Manhattan,Tea,English Breakfast Rg,Brewed Black tea
4,28.00,14,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm,Drip coffee
5,36.00,12,2023-01-01,202301,Sun,Astoria,Tea,Serenity Green Tea Lg,Brewed Green tea
5,50.00,20,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Earl Grey Rg,Brewed Black tea
3,19.50,6,2023-01-01,202301,Sun,Hell's Kitchen,Bakery,Ginger Scone,Scone
7,90.00,24,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Jamaican Coffee River Lg,Premium brewed coffee
7,54.00,18,2023-01-01,202301,Sun,Astoria,Tea,Lemon Grass Lg,Brewed herbal tea
4,36.00,12,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Ethiopia Rg,Gourmet brewed coffee
5,42.00,14,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Brazilian Rg,Organic brewed coffee
3,30.00,10,2023-01-01,202301,Sun,Astoria,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee
1,8.00,4,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee
5,63.00,18,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Brazilian Lg,Organic brewed coffee
7,77.00,22,2023-01-02,202301,Mon,Astoria,Coffee,Brazilian Lg,Organic brewed coffee
7,70.00,20,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Ethiopia Lg,Gourmet brewed coffee
6,48.00,16,2023-01-02,202301,Mon,Astoria,Tea,English Breakfast Lg,Brewed Black tea
3,12.00,6,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Our Old Time Diner Blend Sm,Drip coffee
3,21.00,6,2023-01-01,202301,Sun,Lower Manhattan,Bakery,Chocolate Chip Biscotti,Biscotti
5,37.50,10,2023-01-01,202301,Sun,Lower Manhattan,Bakery,Chocolate Croissant,Pastry
5,60.00,16,2023-01-01,202301,Sun,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate
7,66.00,22,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Traditional Blend Chai Lg,Brewed Chai tea
5,54.00,18,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Espresso shot,Barista Espresso
8,70.40,32,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Brazilian Sm,Organic brewed coffee
6,54.00,18,2023-01-01,202301,Sun,Lower Manhattan,Tea,Lemon Grass Lg,Brewed herbal tea
5,52.50,14,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Latte,Barista Espresso
4,25.00,10,2023-01-01,202301,Sun,Lower Manhattan,Tea,Peppermint Rg,Brewed herbal tea
1,6.20,2,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Jamaican Coffee River Rg,Premium brewed coffee
4,30.60,12,2023-01-01,202301,Sun,Astoria,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea
4,36.00,12,2023-01-01,202301,Sun,Lower Manhattan,Tea,Earl Grey Lg,Brewed Black tea
2,18.00,6,2023-01-01,202301,Sun,Astoria,Coffee,Espresso shot,Barista Espresso
4,30.00,12,2023-01-01,202301,Sun,Astoria,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee
5,35.00,14,2023-01-01,202301,Sun,Astoria,Coffee,Our Old Time Diner Blend Rg,Drip coffee
2,24.00,8,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee
1,7.00,2,2023-01-01,202301,Sun,Hell's Kitchen,Drinking Chocolate,Dark chocolate Rg,Hot chocolate
1,7.50,2,2023-01-01,202301,Sun,Astoria,Bakery,Chocolate Croissant,Pastry
6,60.00,16,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Jamaican Coffee River Lg,Premium brewed coffee
5,36.00,12,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Brazilian Rg,Organic brewed coffee
3,18.00,6,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Brazilian Rg,Organic brewed coffee
1,8.00,2,2023-01-01,202301,Sun,Lower Manhattan,Tea,Morning Sunrise Chai Lg,Brewed Chai tea
4,51.00,12,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Cappuccino Lg,Barista Espresso
7,62.00,20,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,Premium brewed coffee
5,52.50,14,2023-01-01,202301,Sun,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate
3,26.40,12,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Ethiopia Sm,Gourmet brewed coffee
4,30.00,12,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Lemon Grass Rg,Brewed herbal tea
3,35.00,10,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Ethiopia Lg,Gourmet brewed coffee
3,30.00,12,2023-01-01,202301,Sun,Lower Manhattan,Tea,Morning Sunrise Chai Rg,Brewed Chai tea
6,42.00,12,2023-01-01,202301,Sun,Lower Manhattan,Bakery,Croissant,Pastry
5,40.00,16,2023-01-01,202301,Sun,Astoria,Tea,Peppermint Rg,Brewed herbal tea
6,45.00,18,2023-01-01,202301,Sun,Astoria,Tea,Traditional Blend Chai Rg,Brewed Chai tea
2,14.00,4,2023-01-01,202301,Sun,Hell's Kitchen,Bakery,Croissant,Pastry
3,47.50,10,2023-01-01,202301,Sun,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate
3,25.00,10,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Peppermint Rg,Brewed herbal tea
3,20.00,8,2023-01-01,202301,Sun,Astoria,Tea,Earl Grey Rg,Brewed Black tea
4,30.00,10,2023-01-01,202301,Sun,Astoria,Coffee,Our Old Time Diner Blend Lg,Drip coffee
6,60.00,20,2023-01-01,202301,Sun,Hell's Kitchen,Tea,English Breakfast Lg,Brewed Black tea
2,18.00,6,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Espresso shot,Barista Espresso
1,8.80,4,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Brazilian Sm,Organic brewed coffee
4,48.00,12,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Morning Sunrise Chai Lg,Brewed Chai tea
5,50.00,20,2023-01-01,202301,Sun,Astoria,Tea,Lemon Grass Rg,Brewed herbal tea
3,24.00,8,2023-01-01,202301,Sun,Lower Manhattan,Tea,Traditional Blend Chai Lg,Brewed Chai tea
2,24.00,8,2023-01-01,202301,Sun,Lower Manhattan,Tea,English Breakfast Lg,Brewed Black tea
1,6.50,2,2023-01-01,202301,Sun,Astoria,Bakery,Cranberry Scone,Scone
2,17.60,8,2023-01-01,202301,Sun,Astoria,Coffee,Ethiopia Sm,Gourmet brewed coffee
1,7.00,2,2023-01-01,202301,Sun,Astoria,Bakery,Chocolate Chip Biscotti,Biscotti
2,18.00,6,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Ouro Brasileiro shot,Barista Espresso
2,12.00,4,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Lemon Grass Lg,Brewed herbal tea
2,14.00,4,2023-01-02,202301,Mon,Hell's Kitchen,Bakery,Ginger Biscotti,Biscotti
4,30.00,12,2023-01-02,202301,Mon,Lower Manhattan,Tea,Peppermint Rg,Brewed herbal tea
6,60.00,20,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Brazilian Rg,Organic brewed coffee
4,37.50,10,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso
4,63.00,14,2023-01-02,202301,Mon,Hell's Kitchen,Drinking Chocolate,Dark chocolate Lg,Hot chocolate
5,48.00,12,2023-01-02,202301,Mon,Hell's Kitchen,Tea,Morning Sunrise Chai Lg,Brewed Chai tea
2,15.00,6,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee
7,40.00,20,2023-01-02,202301,Mon,Astoria,Coffee,Our Old Time Diner Blend Sm,Drip coffee
5,35.00,10,2023-01-02,202301,Mon,Lower Manhattan,Bakery,Croissant,Pastry
3,15.00,6,2023-01-02,202301,Mon,Hell's Kitchen,Tea,Morning Sunrise Chai Rg,Brewed Chai tea
8,55.00,22,2023-01-02,202301,Mon,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea
2,18.00,6,2023-01-02,202301,Mon,Hell's Kitchen,Tea,Earl Grey Lg,Brewed Black tea
4,45.00,12,2023-01-02,202301,Mon,Astoria,Coffee,Latte,Barista Espresso
3,22.50,6,2023-01-02,202301,Mon,Hell's Kitchen,Bakery,Chocolate Croissant,Pastry
3,22.00,10,2023-01-01,202301,Sun,Astoria,Coffee,Brazilian Sm,Organic brewed coffee
4,52.50,14,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Cappuccino,Barista Espresso
3,36.00,12,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Espresso shot,Barista Espresso
5,35.00,14,2023-01-02,202301,Mon,Hell's Kitchen,Tea,Peppermint Rg,Brewed herbal tea
2,18.00,4,2023-01-01,202301,Sun,Lower Manhattan,Bakery,Scottish Cream Scone ,Scone
4,26.00,8,2023-01-01,202301,Sun,Lower Manhattan,Bakery,Ginger Scone,Scone
3,20.00,8,2023-01-01,202301,Sun,Lower Manhattan,Tea,Earl Grey Rg,Brewed Black tea
5,54.00,18,2023-01-01,202301,Sun,Lower Manhattan,Tea,Peppermint Lg,Brewed herbal tea
2,28.00,8,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Brazilian Lg,Organic brewed coffee
5,20.00,10,2023-01-01,202301,Sun,Astoria,Coffee,Our Old Time Diner Blend Sm,Drip coffee
6,63.00,14,2023-01-01,202301,Sun,Astoria,Drinking Chocolate,Dark chocolate Lg,Hot chocolate
5,56.00,16,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Brazilian Lg,Organic brewed coffee
5,37.50,10,2023-01-01,202301,Sun,Astoria,Bakery,Jumbo Savory Scone,Scone
6,55.80,18,2023-01-01,202301,Sun,Astoria,Coffee,Jamaican Coffee River Rg,Premium brewed coffee
3,28.00,8,2023-01-01,202301,Sun,Astoria,Coffee,Ethiopia Lg,Gourmet brewed coffee
2,12.00,4,2023-01-01,202301,Sun,Astoria,Tea,Traditional Blend Chai Lg,Brewed Chai tea
3,18.60,6,2023-01-01,202301,Sun,Astoria,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea
4,25.00,10,2023-01-01,202301,Sun,Hell's Kitchen,Tea,English Breakfast Rg,Brewed Black tea
3,15.00,6,2023-01-01,202301,Sun,Lower Manhattan,Tea,Lemon Grass Rg,Brewed herbal tea
5,56.00,16,2023-01-01,202301,Sun,Astoria,Coffee,Brazilian Lg,Organic brewed coffee
3,30.00,8,2023-01-01,202301,Sun,Astoria,Coffee,Cappuccino,Barista Espresso
1,7.00,2,2023-01-01,202301,Sun,Astoria,Bakery,Ginger Biscotti,Biscotti
6,54.00,18,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee
2,30.00,8,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Latte,Barista Espresso
3,35.00,10,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Ethiopia Lg,Gourmet brewed coffee
4,29.40,12,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Jamaican Coffee River Sm,Premium brewed coffee
3,19.50,6,2023-01-02,202301,Mon,Hell's Kitchen,Bakery,Cranberry Scone,Scone
5,25.00,10,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg,Drip coffee
4,47.50,10,2023-01-02,202301,Mon,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate
4,26.40,12,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Ethiopia Sm,Gourmet brewed coffee
4,30.00,8,2023-01-02,202301,Mon,Astoria,Bakery,Jumbo Savory Scone,Scone
3,21.00,6,2023-01-02,202301,Mon,Lower Manhattan,Bakery,Ginger Biscotti,Biscotti
4,36.00,12,2023-01-02,202301,Mon,Astoria,Coffee,Ethiopia Rg,Gourmet brewed coffee
2,13.00,4,2023-01-02,202301,Mon,Lower Manhattan,Bakery,Hazelnut Biscotti,Biscotti
4,36.00,8,2023-01-02,202301,Mon,Lower Manhattan,Bakery,Scottish Cream Scone ,Scone
7,48.00,24,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee
8,97.50,26,2023-01-01,202301,Sun,Astoria,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate
7,75.00,20,2023-01-01,202301,Sun,Astoria,Coffee,Jamaican Coffee River Lg,Premium brewed coffee
6,75.00,20,2023-01-02,202301,Mon,Astoria,Coffee,Jamaican Coffee River Lg,Premium brewed coffee
6,42.00,14,2023-01-02,202301,Mon,Astoria,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee
7,60.00,16,2023-01-02,202301,Mon,Astoria,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate
3,16.00,8,2023-01-02,202301,Mon,Astoria,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee
6,40.00,16,2023-01-02,202301,Mon,Hell's Kitchen,Tea,English Breakfast Rg,Brewed Black tea
5,68.00,16,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Cappuccino Lg,Barista Espresso
3,22.00,10,2023-01-02,202301,Mon,Astoria,Coffee,Ethiopia Sm,Gourmet brewed coffee
7,85.00,20,2023-01-02,202301,Mon,Astoria,Coffee,Latte Rg,Barista Espresso
2,27.00,6,2023-01-02,202301,Mon,Astoria,Drinking Chocolate,Dark chocolate Lg,Hot chocolate
3,45.00,12,2023-01-02,202301,Mon,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate
2,15.00,4,2023-01-02,202301,Mon,Astoria,Bakery,Chocolate Croissant,Pastry
1,7.00,2,2023-01-02,202301,Mon,Lower Manhattan,Bakery,Chocolate Chip Biscotti,Biscotti
2,24.00,8,2023-01-02,202301,Mon,Astoria,Tea,Peppermint Lg,Brewed herbal tea
5,40.80,16,2023-01-03,202301,Tue,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea
6,40.00,16,2023-01-03,202301,Tue,Hell's Kitchen,Tea,Peppermint Rg,Brewed herbal tea
4,36.00,12,2023-01-03,202301,Tue,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee
5,48.00,16,2023-01-03,202301,Tue,Hell's Kitchen,Tea,Traditional Blend Chai Lg,Brewed Chai tea
5,30.00,12,2023-01-03,202301,Tue,Hell's Kitchen,Tea,Morning Sunrise Chai Rg,Brewed Chai tea
5,67.50,18,2023-01-03,202301,Tue,Lower Manhattan,Coffee,Latte,Barista Espresso
4,59.50,14,2023-01-03,202301,Tue,Lower Manhattan,Coffee,Latte Rg,Barista Espresso
2,18.00,4,2023-01-03,202301,Tue,Astoria,Bakery,Scottish Cream Scone ,Scone
3,28.00,8,2023-01-03,202301,Tue,Hell's Kitchen,Coffee,Ethiopia Lg,Gourmet brewed coffee
5,42.00,14,2023-01-03,202301,Tue,Astoria,Coffee,Ethiopia Rg,Gourmet brewed coffee
5,42.00,14,2023-01-03,202301,Tue,Hell's Kitchen,Tea,Lemon Grass Lg,Brewed herbal tea
4,28.00,14,2023-01-03,202301,Tue,Astoria,Coffee,Our Old Time Diner Blend Sm,Drip coffee
3,21.00,6,2023-01-03,202301,Tue,Hell's Kitchen,Bakery,Croissant,Pastry
4,24.00,12,2023-01-04,202301,Wed,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee
6,81.00,18,2023-01-04,202301,Wed,Hell's Kitchen,Drinking Chocolate,Dark chocolate Lg,Hot chocolate
1,14.00,4,2023-01-04,202301,Wed,Lower Manhattan,Coffee,Ethiopia Lg,Gourmet brewed coffee
6,76.50,18,2023-01-05,202301,Thu,Lower Manhattan,Coffee,Cappuccino Lg,Barista Espresso
6,45.00,18,2023-01-01,202301,Sun,Astoria,Tea,Serenity Green Tea Rg,Brewed Green tea
4,25.00,10,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea
1,12.00,4,2023-01-01,202301,Sun,Astoria,Tea,Peppermint Lg,Brewed herbal tea
3,17.60,8,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Ethiopia Sm,Gourmet brewed coffee
4,42.00,14,2023-01-01,202301,Sun,Astoria,Tea,English Breakfast Lg,Brewed Black tea
3,30.00,12,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee
2,14.00,4,2023-01-01,202301,Sun,Lower Manhattan,Bakery,Ginger Biscotti,Biscotti
2,24.00,8,2023-01-01,202301,Sun,Astoria,Coffee,Brazilian Rg,Organic brewed coffee
2,10.00,4,2023-01-01,202301,Sun,Lower Manhattan,Tea,Serenity Green Tea Rg,Brewed Green tea
3,37.50,10,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Jamaican Coffee River Lg,Premium brewed coffee
5,45.00,18,2023-01-01,202301,Sun,Astoria,Tea,Morning Sunrise Chai Rg,Brewed Chai tea
7,40.00,20,2023-01-01,202301,Sun,Astoria,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee
9,104.00,26,2023-01-01,202301,Sun,Astoria,Tea,Morning Sunrise Chai Lg,Brewed Chai tea
3,19.50,6,2023-01-01,202301,Sun,Astoria,Bakery,Hazelnut Biscotti,Biscotti
4,36.00,12,2023-01-01,202301,Sun,Astoria,Coffee,Ethiopia Rg,Gourmet brewed coffee
4,59.50,14,2023-01-01,202301,Sun,Astoria,Coffee,Cappuccino Lg,Barista Espresso
2,15.00,4,2023-01-01,202301,Sun,Hell's Kitchen,Bakery,Chocolate Croissant,Pastry
2,14.70,6,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Jamaican Coffee River Sm,Premium brewed coffee
4,47.50,10,2023-01-01,202301,Sun,Astoria,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate
3,42.50,10,2023-01-01,202301,Sun,Astoria,Coffee,Latte Rg,Barista Espresso
4,39.20,16,2023-01-01,202301,Sun,Astoria,Coffee,Jamaican Coffee River Sm,Premium brewed coffee
2,12.00,4,2023-01-01,202301,Sun,Hell's Kitchen,Bakery,Oatmeal Scone,Scone
3,21.00,6,2023-01-01,202301,Sun,Hell's Kitchen,Bakery,Chocolate Chip Biscotti,Biscotti
5,48.00,16,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Ouro Brasileiro shot,Barista Espresso
3,19.50,6,2023-01-02,202301,Mon,Lower Manhattan,Bakery,Cranberry Scone,Scone
4,30.00,12,2023-01-02,202301,Mon,Lower Manhattan,Tea,Lemon Grass Rg,Brewed herbal tea
2,12.00,4,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg,Drip coffee
2,12.00,4,2023-01-02,202301,Mon,Lower Manhattan,Tea,Traditional Blend Chai Lg,Brewed Chai tea
2,17.00,4,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Cappuccino Lg,Barista Espresso
8,60.00,20,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Ethiopia Rg,Gourmet brewed coffee
5,30.80,14,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Brazilian Sm,Organic brewed coffee
6,35.20,16,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Brazilian Sm,Organic brewed coffee
4,31.00,10,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,Premium brewed coffee
5,28.00,14,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee
5,66.50,14,2023-01-02,202301,Mon,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate
3,19.50,6,2023-01-02,202301,Mon,Hell's Kitchen,Bakery,Ginger Scone,Scone
8,55.00,22,2023-01-02,202301,Mon,Lower Manhattan,Tea,English Breakfast Rg,Brewed Black tea
5,36.00,12,2023-01-02,202301,Mon,Hell's Kitchen,Tea,Lemon Grass Lg,Brewed herbal tea
6,45.00,18,2023-01-02,202301,Mon,Hell's Kitchen,Tea,Earl Grey Rg,Brewed Black tea
5,48.00,16,2023-01-02,202301,Mon,Hell's Kitchen,Coffee,Ouro Brasileiro shot,Barista Espresso
4,28.00,8,2023-01-02,202301,Mon,Astoria,Bakery,Croissant,Pastry
8,72.00,24,2023-01-02,202301,Mon,Astoria,Tea,Traditional Blend Chai Lg,Brewed Chai tea
2,15.00,6,2023-01-02,202301,Mon,Lower Manhattan,Tea,Morning Sunrise Chai Rg,Brewed Chai tea
1,6.50,2,2023-01-02,202301,Mon,Astoria,Bakery,Hazelnut Biscotti,Biscotti
2,18.00,4,2023-01-02,202301,Mon,Hell's Kitchen,Bakery,Scottish Cream Scone ,Scone
6,50.00,20,2023-01-02,202301,Mon,Astoria,Coffee,Our Old Time Diner Blend Rg,Drip coffee
10,90.00,30,2023-01-02,202301,Mon,Astoria,Coffee,Our Old Time Diner Blend Lg,Drip coffee
3,20.00,8,2023-01-02,202301,Mon,Astoria,Tea,Lemon Grass Rg,Brewed herbal tea
4,42.00,14,2023-01-02,202301,Mon,Lower Manhattan,Tea,Serenity Green Tea Lg,Brewed Green tea
3,20.00,10,2023-01-02,202301,Mon,Lower Manhattan,Coffee,Our Old Time Diner Blend Sm,Drip coffee
3,25.00,10,2023-01-02,202301,Mon,Astoria,Tea,Earl Grey Rg,Brewed Black tea
2,15.00,4,2023-01-02,202301,Mon,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate
5,40.00,16,2023-01-02,202301,Mon,Lower Manhattan,Tea,Traditional Blend Chai Rg,Brewed Chai tea
1,10.00,4,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Traditional Blend Chai Rg,Brewed Chai tea
1,9.00,2,2023-01-01,202301,Sun,Astoria,Bakery,Scottish Cream Scone ,Scone
1,12.40,4,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea
