NUMBER_OF_SALES;TOTAL_REVENUE;NUMBER_OF_UNIT_SOLD;PURCHASE_DATE;MONTH_ID;DAY_OF_WEEK;TIME_BUCKET;SPENDER_BUCKET;STORE_LOCATION;PRODUCT_CATEGORY;PRODUCT_DETAIL;PRODUCT_TYPE
1;10;4;2023/01/01;202301;Sun;AFTERNOON;LOW;Astoria;Tea;Earl Grey Rg;Brewed Black tea
2;22,5;6;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Cappuccino;Barista Espresso
3;18;6;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Coffee;Brazilian Rg;Organic brewed coffee
2;17,6;8;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Coffee;Brazilian Sm;Organic brewed coffee
1;7;2;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Bakery;Ginger Biscotti;Biscotti
1;8,5;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Coffee;Cappuccino Lg;Barista Espresso
3;37,5;10;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate
3;30;12;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Tea;Serenity Green Tea Rg;Brewed Green tea
3;36;12;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Tea;Peppermint Lg;Brewed herbal tea
2;13;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Bakery;Hazelnut Biscotti;Biscotti
1;8;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Tea;Morning Sunrise Chai Lg;Brewed Chai tea
2;20;8;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Tea;Morning Sunrise Chai Rg;Brewed Chai tea
1;4,4;2;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Coffee;Ethiopia Sm;Gourmet brewed coffee
1;6;2;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Tea;Traditional Blend Chai Lg;Brewed Chai tea
1;12;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Astoria;Tea;English Breakfast Lg;Brewed Black tea
2;15;6;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
3;30;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate
1;8,8;4;2023/01/01;202301;Sun;AFTERNOON;LOW;Hell's Kitchen;Coffee;Brazilian Sm;Organic brewed coffee
1;7,5;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Lower Manhattan;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
1;12;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Tea;English Breakfast Lg;Brewed Black tea
2;10;4;2023/01/01;202301;Sun;AFTERNOON;LOW;Lower Manhattan;Tea;Lemon Grass Rg;Brewed herbal tea
5;67,5;18;2023/01/01;202301;Sun;MORNING;HIGH;Hell's Kitchen;Coffee;Cappuccino;Barista Espresso
3;24;8;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Tea;Peppermint Lg;Brewed herbal tea
1;7,5;2;2023/01/01;202301;Sun;MORNING;LOW;Astoria;Coffee;Latte;Barista Espresso
3;22,5;6;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Bakery;Chocolate Croissant;Pastry
3;45;12;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Coffee;Latte;Barista Espresso
1;19;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
1;7,5;2;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Bakery;Almond Croissant;Pastry
1;7;2;2023/01/01;202301;Sun;MORNING;LOW;Astoria;Bakery;Croissant;Pastry
2;14;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Bakery;Croissant;Pastry
6;52,8;24;2023/01/01;202301;Sun;AFTERNOON;HIGH;Lower Manhattan;Coffee;Brazilian Sm;Organic brewed coffee
1;6;2;2023/01/01;202301;Sun;MORNING;LOW;Astoria;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee
2;28;8;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Coffee;Ethiopia Lg;Gourmet brewed coffee
1;9;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Bakery;Scottish Cream Scone ;Scone
2;18;6;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Tea;Serenity Green Tea Lg;Brewed Green tea
2;34;8;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Coffee;Cappuccino Lg;Barista Espresso
1;6,5;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Bakery;Cranberry Scone;Scone
2;13;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Bakery;Ginger Scone;Scone
1;5,1;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Astoria;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
1;5;2;2023/01/01;202301;Sun;MORNING;LOW;Astoria;Tea;Serenity Green Tea Rg;Brewed Green tea
1;12;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Astoria;Tea;Peppermint Lg;Brewed herbal tea
2;15;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
2;21;6;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Brazilian Lg;Organic brewed coffee
2;12;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Tea;Serenity Green Tea Lg;Brewed Green tea
3;30;10;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Tea;English Breakfast Lg;Brewed Black tea
2;24;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Our Old Time Diner Blend Lg;Drip coffee
2;14;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Bakery;Croissant;Pastry
1;6,2;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Coffee;Jamaican Coffee River Rg;Premium brewed coffee
1;17;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Coffee;Latte Rg;Barista Espresso
1;15;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Coffee;Cappuccino;Barista Espresso
1;8,8;4;2023/01/01;202301;Sun;MORNING;LOW;Astoria;Coffee;Brazilian Sm;Organic brewed coffee
1;10;4;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Tea;Earl Grey Rg;Brewed Black tea
1;12;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Astoria;Coffee;Brazilian Rg;Organic brewed coffee
1;5;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea
2;12;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Coffee;Our Old Time Diner Blend Lg;Drip coffee
3;30;12;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Tea;Morning Sunrise Chai Rg;Brewed Chai tea
2;24;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee
1;10;4;2023/01/01;202301;Sun;AFTERNOON;LOW;Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea
2;9,8;4;2023/01/01;202301;Sun;AFTERNOON;LOW;Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
1;12;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Peppermint Lg;Brewed herbal tea
1;8,8;4;2023/01/01;202301;Sun;AFTERNOON;LOW;Hell's Kitchen;Coffee;Ethiopia Sm;Gourmet brewed coffee
1;5;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Tea;Earl Grey Rg;Brewed Black tea
2;22,5;6;2023/01/01;202301;Sun;MORNING;MEDUIM;Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate
1;5;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Tea;Peppermint Rg;Brewed herbal tea
2;14;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Bakery;Croissant;Pastry
1;10;4;2023/01/01;202301;Sun;EVENING;LOW;Hell's Kitchen;Tea;Traditional Blend Chai Rg;Brewed Chai tea
3;22,5;6;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Coffee;Latte;Barista Espresso
4;43,4;14;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Coffee;Jamaican Coffee River Rg;Premium brewed coffee
2;24;6;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Tea;Morning Sunrise Chai Lg;Brewed Chai tea
2;28,5;6;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
2;20;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
1;9;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Hell's Kitchen;Bakery;Scottish Cream Scone ;Scone
4;42;14;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;English Breakfast Lg;Brewed Black tea
3;24;12;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee
2;20;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Tea;Lemon Grass Rg;Brewed herbal tea
2;12;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea
1;9;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Astoria;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
2;12;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Ouro Brasileiro shot;Barista Espresso
1;5,1;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Hell's Kitchen;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
2;16;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Our Old Time Diner Blend Sm;Drip coffee
1;7;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Hell's Kitchen;Coffee;Ethiopia Lg;Gourmet brewed coffee
4;25;10;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;English Breakfast Rg;Brewed Black tea
1;9,8;4;2023/01/01;202301;Sun;AFTERNOON;LOW;Astoria;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
2;34;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Coffee;Latte Rg;Barista Espresso
1;10;4;2023/01/01;202301;Sun;AFTERNOON;LOW;Lower Manhattan;Tea;Earl Grey Rg;Brewed Black tea
2;17,6;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Coffee;Ethiopia Sm;Gourmet brewed coffee
1;7;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Lower Manhattan;Bakery;Ginger Biscotti;Biscotti
1;5;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Hell's Kitchen;Tea;Peppermint Rg;Brewed herbal tea
1;15;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Astoria;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
3;29,4;12;2023/01/01;202301;Sun;EVENING;MEDUIM;Astoria;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
2;15;6;2023/01/01;202301;Sun;EVENING;MEDUIM;Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
1;4;2;2023/01/01;202301;Sun;EVENING;LOW;Lower Manhattan;Coffee;Our Old Time Diner Blend Sm;Drip coffee
2;8;4;2023/01/01;202301;Sun;EVENING;LOW;Astoria;Coffee;Our Old Time Diner Blend Sm;Drip coffee
3;30;8;2023/01/01;202301;Sun;EVENING;MEDUIM;Astoria;Coffee;Cappuccino;Barista Espresso
2;15;6;2023/01/01;202301;Sun;EVENING;MEDUIM;Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea
1;5;2;2023/01/01;202301;Sun;EVENING;LOW;Lower Manhattan;Tea;Earl Grey Rg;Brewed Black tea
1;15;4;2023/01/01;202301;Sun;EVENING;MEDUIM;Lower Manhattan;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
2;20;8;2023/01/01;202301;Sun;EVENING;MEDUIM;Hell's Kitchen;Tea;Earl Grey Rg;Brewed Black tea
5;56;16;2023/01/01;202301;Sun;EVENING;HIGH;Astoria;Coffee;Brazilian Lg;Organic brewed coffee
3;45;12;2023/01/01;202301;Sun;EVENING;MEDUIM;Hell's Kitchen;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
1;8,8;4;2023/01/01;202301;Sun;EVENING;LOW;Lower Manhattan;Coffee;Ethiopia Sm;Gourmet brewed coffee
1;5;2;2023/01/01;202301;Sun;EVENING;LOW;Lower Manhattan;Tea;English Breakfast Rg;Brewed Black tea
1;4,9;2;2023/01/01;202301;Sun;EVENING;LOW;Hell's Kitchen;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
1;8,5;2;2023/01/01;202301;Sun;EVENING;LOW;Lower Manhattan;Coffee;Latte Rg;Barista Espresso
1;12;4;2023/01/01;202301;Sun;EVENING;MEDUIM;Hell's Kitchen;Tea;Peppermint Lg;Brewed herbal tea
2;10;4;2023/01/01;202301;Sun;EVENING;LOW;Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea
1;5;2;2023/01/01;202301;Sun;EVENING;LOW;Hell's Kitchen;Coffee;Our Old Time Diner Blend Rg;Drip coffee
1;6;2;2023/01/01;202301;Sun;EVENING;LOW;Astoria;Tea;Lemon Grass Lg;Brewed herbal tea
1;8,5;2;2023/01/02;202301;Mon;MORNING;LOW;Lower Manhattan;Coffee;Cappuccino Lg;Barista Espresso
3;13,2;6;2023/01/02;202301;Mon;MORNING;MEDUIM;Lower Manhattan;Coffee;Brazilian Sm;Organic brewed coffee
2;17,6;8;2023/01/02;202301;Mon;MORNING;MEDUIM;Hell's Kitchen;Coffee;Ethiopia Sm;Gourmet brewed coffee
1;5;2;2023/01/02;202301;Mon;MORNING;LOW;Hell's Kitchen;Tea;Serenity Green Tea Rg;Brewed Green tea
3;15;6;2023/01/02;202301;Mon;MORNING;MEDUIM;Lower Manhattan;Coffee;Our Old Time Diner Blend Rg;Drip coffee
1;15;4;2023/01/02;202301;Mon;MORNING;MEDUIM;Astoria;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
1;12;4;2023/01/02;202301;Mon;MORNING;MEDUIM;Lower Manhattan;Tea;Lemon Grass Lg;Brewed herbal tea
2;12;4;2023/01/02;202301;Mon;MORNING;MEDUIM;Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea
4;36;12;2023/01/02;202301;Mon;AFTERNOON;MEDUIM;Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea
1;7;2;2023/01/02;202301;Mon;AFTERNOON;LOW;Hell's Kitchen;Bakery;Chocolate Chip Biscotti;Biscotti
2;12;4;2023/01/02;202301;Mon;MORNING;MEDUIM;Hell's Kitchen;Tea;Lemon Grass Lg;Brewed herbal tea
1;6,5;2;2023/01/01;202301;Sun;EVENING;LOW;Lower Manhattan;Bakery;Cranberry Scone;Scone
1;9;2;2023/01/01;202301;Sun;EVENING;LOW;Astoria;Bakery;Scottish Cream Scone ;Scone
2;14;4;2023/01/02;202301;Mon;MORNING;MEDUIM;Hell's Kitchen;Coffee;Brazilian Lg;Organic brewed coffee
2;15;6;2023/01/02;202301;Mon;MORNING;MEDUIM;Hell's Kitchen;Tea;Peppermint Rg;Brewed herbal tea
2;12;6;2023/01/02;202301;Mon;MORNING;MEDUIM;Hell's Kitchen;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee
2;18;6;2023/01/02;202301;Mon;MORNING;MEDUIM;Hell's Kitchen;Coffee;Ouro Brasileiro shot;Barista Espresso
1;6,5;2;2023/01/02;202301;Mon;MORNING;LOW;Lower Manhattan;Bakery;Cranberry Scone;Scone
1;7;2;2023/01/02;202301;Mon;MORNING;LOW;Astoria;Bakery;Croissant;Pastry
2;21;6;2023/01/02;202301;Mon;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Ethiopia Lg;Gourmet brewed coffee
1;9;2;2023/01/02;202301;Mon;AFTERNOON;LOW;Hell's Kitchen;Bakery;Scottish Cream Scone ;Scone
3;24,5;10;2023/01/02;202301;Mon;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
1;5,1;2;2023/01/02;202301;Mon;AFTERNOON;LOW;Hell's Kitchen;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
1;6;2;2023/01/02;202301;Mon;EVENING;LOW;Lower Manhattan;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee
2;18;4;2023/01/02;202301;Mon;EVENING;MEDUIM;Lower Manhattan;Bakery;Scottish Cream Scone ;Scone
1;7,5;2;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Coffee;Latte;Barista Espresso
2;12;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Coffee;Our Old Time Diner Blend Lg;Drip coffee
1;5;2;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Tea;Serenity Green Tea Rg;Brewed Green tea
1;15;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
2;30;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Latte;Barista Espresso
2;20;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;Earl Grey Rg;Brewed Black tea
4;42;14;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee
1;6;2;2023/01/01;202301;Sun;MORNING;LOW;Astoria;Tea;Serenity Green Tea Lg;Brewed Green tea
2;15,3;6;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
3;25;10;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea
1;6,5;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Hell's Kitchen;Bakery;Ginger Scone;Scone
2;17,6;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Ethiopia Sm;Gourmet brewed coffee
1;10;4;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Tea;Peppermint Rg;Brewed herbal tea
1;10;4;2023/01/01;202301;Sun;MORNING;LOW;Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea
1;12;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Astoria;Coffee;Espresso shot;Barista Espresso
2;34;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Cappuccino Lg;Barista Espresso
